x,y,z,formation
649818.283867,9655588.66938,45.3857,elevasi
648861.787444,9659244.56548,48.2639,elevasi
648857.792907,9658944.80782,47.8289,elevasi
648858.639808,9658640.22436,47.9511,elevasi
649645.385073,9658621.86572,47.5767,elevasi
649678.347811,9658321.46554,48.0041,elevasi
648843.82092,9657723.5378,46.9049,elevasi
648835.563065,9657417.55048,45.6797,elevasi
648828.004659,9657117.86469,45.1012,elevasi
648766.421306,9656820.47438,44.5534,elevasi
649710.364935,9658020.01069,47.9075,elevasi
649755.201326,9657704.91777,47.3162,elevasi
649792.102794,9657392.5512,47.2484,elevasi
649826.146792,9657093.51006,47.2643,elevasi
649838.1813,9656801.67821,46.4611,elevasi
649832.972183,9656501.5257,45.5312,elevasi
649833.580808,9656192.41522,45.2861,elevasi
649823.904415,9655884.19,45.208,elevasi
649818.283867,9655588.66938,43.53399,pbc
648861.787444,9659244.56548,47.08892,pbc
648857.792907,9658944.80782,45.32544,pbc
648858.639808,9658640.22436,45.12929,pbc
649645.385073,9658621.86572,43.36018,pbc
649678.347811,9658321.46554,43.59869,pbc
648843.82092,9657723.5378,44.36477,pbc
648835.563065,9657417.55048,43.32928,pbc
648828.004659,9657117.86469,42.85652,pbc
648766.421306,9656820.47438,42.42197,pbc
649710.364935,9658020.01069,44.24742,pbc
649755.201326,9657704.91777,44.29796,pbc
649792.102794,9657392.5512,43.57924,pbc
649826.146792,9657093.51006,43.20212,pbc
649838.1813,9656801.67821,43.1749,pbc
649832.972183,9656501.5257,42.74199,pbc
649833.580808,9656192.41522,42.72641,pbc
649823.904415,9655884.19,42.81271,pbc
649818.283867,9655588.66938,43.522979,pirit
648861.787444,9659244.56548,46.949361,pirit
648857.792907,9658944.80782,45.256172,pirit
648858.639808,9658640.22436,44.90292,pirit
649645.385073,9658621.86572,43.137566,pirit
649678.347811,9658321.46554,43.325088,pirit
648843.82092,9657723.5378,44.2515,pirit
648835.563065,9657417.55048,43.215044,pirit
648828.004659,9657117.86469,42.682962,pirit
648766.421306,9656820.47438,42.223003,pirit
649710.364935,9658020.01069,43.884824,pirit
649755.201326,9657704.91777,44.190282,pirit
649792.102794,9657392.5512,43.621816,pirit
649826.146792,9657093.51006,43.346027,pirit
649838.1813,9656801.67821,43.230795,pirit
649832.972183,9656501.5257,42.883796,pirit
649833.580808,9656192.41522,42.951372,pirit
649823.904415,9655884.19,43.026279,pirit
649818.283867,9655588.66938,43.330472887126,ndl
648861.787444,9659244.56548,44.813166474256,ndl
648857.792907,9658944.80782,44.77819177021,ndl
648858.639808,9658640.22436,44.7589662743838,ndl
649645.385073,9658621.86572,43.7886325494,ndl
649678.347811,9658321.46554,43.733040972116,ndl
648843.82092,9657723.5378,44.818024411296,ndl
648835.563065,9657417.55048,44.863275159916,ndl
648828.004659,9657117.86469,44.912826019422,ndl
648766.421306,9656820.47438, 44.1 ,ndl
649710.364935,9658020.01069,43.678107910588,ndl
649755.201326,9657704.91777,43.620406408548,ndl
649792.102794,9657392.5512,43.565202862864,ndl
649826.146792,9657093.51006,43.513941883448,ndl
649838.1813,9656801.67821,43.468555515636,ndl
649832.972183,9656501.5257,43.427253250586,ndl
649833.580808,9656192.41522,43.387958927578,ndl
649823.904415,9655884.19,43.355749029472,ndl
